"ComputerName","ServiceName","DisplayName","Status","StartType","Found","CheckedAt"
"DEMO-PC","wuauserv","Windows Update","Stopped","Manual","True","2026-06-29 11:39:48"
"DEMO-PC","WinDefend","Microsoft Defender Antivirus Service","Running","Automatic","True","2026-06-29 11:39:48"
"DEMO-PC","Spooler","Print Spooler","Running","Automatic","True","2026-06-29 11:39:48"
"DEMO-PC","BITS","Background Intelligent Transfer Service","Running","Automatic","True","2026-06-29 11:39:48"
"DEMO-PC","Dhcp","DHCP Client","Running","Automatic","True","2026-06-29 11:39:48"
"DEMO-PC","Dnscache","DNS Client","Running","Automatic","True","2026-06-29 11:39:48"
